Symbol	Description
CM.PR.M	Cibc Cl. A Pref Series 37
CMG	Computer Modelling Group Ltd
CMH	Carmanah Technologies Corp.
CML	Canickel Mining Limited
CMP.UN	Cmp Gold Trust Units
CMR	Claymore Premium Money Market ETF
CMW	Claymore S&P/Tsx Glbl Mining ETF Common
CMW.A	Claymore S&P/Tsx Glbl Mining ETF Advsr
CMZ.UN	Compass Income Fund
CNE	Canacol Energy Ltd
CNE.DB	Canacol Energy Ltd 8 Ptc Debs
CNJ	Cangene Corp
CNL	Continental Gold Ltd
CNQ	Cdn Natural Res
CNR	Canadian National Railway Co.
CNV.UN	Convertible & Yield Advantage Trust
COA	Coastal Contacts Inc.
COM	Cardiome Pharma Corp
COP	Coro Mining Corp.
COS	Canadian Oil Sands Limited
COW	Claymore Global Agr ETF Commonunits
COW.A	Claymore Global Agr Etfclass A
COX.UN	Coxe Commodity Strategy Fund Units
CP	Canadian Pacific Railway Limited
CPD	Claymore S&P/Tsx Cdn Pref Share ETF Com
CPD.A	Claymore S&P/Tsx Cdn Pref Share ETF Adv
CPF.UN	Cdn 50 Adv Pref Sh Fd
CPG	Crescent Point Energy Corp.
CPI	Condor Petroleum Inc
CPM.UN	Copernican Int L Premium Dividend Fund
CPN	Carpathian Gold Inc.
CPT	Coalspur Mines Limited
CPX	Capital Power Corporation
CPX.PR.A	Capital Power Corporation Pref Series 1
CPX.PR.C	Capital Power Corp Pref Series 3
CPX.PR.E	Capital Power Corporation Pref Series 5
CQE	Cequence Energy Ltd.
CR	Crew Energy Inc
CRG	Corona Gold Corp
CRH	Crh Medical Corporation
CRJ	Claude Res
CRK	Crocodile Gold Corp
CRK.DB	Crocodile Gold Corp 8.00 Pct De
CRK.WT	Crocodile Gold Corp Warrants
CRP	Ceres Global Ag Corp.
CRQ	Isharescanadian Fundamental Index Fd
CRQ.A	Ishares Canadian Fundamental Index Fd AC
CRR.DB.B	Crombie REIT 6.25 Debs
CRR.DB.C	Crombie REIT 5.75 Debs
CRR.DB.D	Crombie REIT 5 Pct Debs Ser D
CRR.DB.E	Crombie REIT 5.25 Pct Debs Ser E
CRR.R	Crombie REIT Sub Receipts
CRR.UN	Crombie Real Estate Investment Trust
CS	Capstone Mining Corp.
CSA	Commercial Solutions Inc.
CSB.UN	Canadian Banc Capital Securities Trust
CSD	Claymore Adv Short Duration Hi Inc ETF
CSD.A	Claymore Adv Sh Duration Hi Inc ETF Adv
CSD.U	Claymore Short Duration Hi Inc ETF
CSD.V	Claymore Short Duration Hi Inc ETF Adv
CSE	Capstone Infrastructure Corp
CSE.DB.A	Capstone Infrastructure 6.5 Pct Debs
CSE.PR.A	Capstone Infrastructure Corp Pref A
CSF	The Cash Store Financial Services Inc.
CSH.DB.B	Chartwell Seniors REIT 5.70 Pct Debs
CSH.UN	Chartwell Seniors Housing Rl Estate
CSI	Colossus Minerals Inc.
CSI.NT	Colossus Minerals Inc Gold Linked Notes
CSI.WT.A	Colossus Minerals Inc Warrants
CSI.WT.B	Colossus Minerals Inc Wts B
CSS	Contrans Group Inc.
CSU	Constellation Software Inc.
CSY	Can 60 Income Corp
CTA	Crocotta Energy Inc.
CTC	Canadian Tire Corporation Limited
CTC.A	Canadian Tire Corporation Cl. A Nv
CTF.UN	Citadel Income Fund
CTF.WT	Citadel Income Fund Wts
CTU.A	Le Chateau Inc. Cl A. Sv
CTY	Calian Technologies Ltd.
CU	Canadian Utilities Ltd. Cl.A Nv
CU.PR.C	Canadian Utilities Limited Pref Ser C
CU.PR.D	Canadian Utilities Ltd Pr Series Aa
CU.PR.E	Canadian Utilities Ltd Pref Ser Bb
CU.PR.F	Canadian Utilities Ltd Pref Ser Cc
